Country,Place of birth,Gender,Rate,Year,Unit,PowerCode,Value
Canada,Foreign-born,Men,Employment rate,2008,Percentage,Units,77.9
Canada,Foreign-born,Men,Employment rate,2009,Percentage,Units,73.9
Canada,Foreign-born,Men,Employment rate,2010,Percentage,Units,74.5
Canada,Foreign-born,Men,Employment rate,2011,Percentage,Units,75.2
Canada,Foreign-born,Men,Employment rate,2012,Percentage,Units,76.1
Canada,Foreign-born,Men,Employment rate,2013,Percentage,Units,76.5
Canada,Foreign-born,Men,Employment rate,2014,Percentage,Units,76.3
Canada,Foreign-born,Men,Employment rate,2015,Percentage,Units,78.2
Canada,Foreign-born,Men,Employment rate,2016,Percentage,Units,78.6
Canada,Foreign-born,Men,Employment rate,2017,Percentage,Units,79.1
Canada,Foreign-born,Men,Employment rate,2018,Percentage,Units,78.4
Canada,Foreign-born,Men,Employment rate,2019,Percentage,Units,79.3
Canada,Foreign-born,Men,Unemployment rate,2008,Percentage,Units,6.8
Canada,Foreign-born,Men,Unemployment rate,2009,Percentage,Units,10.6
Canada,Foreign-born,Men,Unemployment rate,2010,Percentage,Units,9.9
Canada,Foreign-born,Men,Unemployment rate,2011,Percentage,Units,8.3
Canada,Foreign-born,Men,Unemployment rate,2012,Percentage,Units,8.2
Canada,Foreign-born,Men,Unemployment rate,2013,Percentage,Units,8
Canada,Foreign-born,Men,Unemployment rate,2014,Percentage,Units,7.5
Canada,Foreign-born,Men,Unemployment rate,2015,Percentage,Units,6.9
Canada,Foreign-born,Men,Unemployment rate,2016,Percentage,Units,7.4
Canada,Foreign-born,Men,Unemployment rate,2017,Percentage,Units,6.3
Canada,Foreign-born,Men,Unemployment rate,2018,Percentage,Units,6
Canada,Foreign-born,Men,Unemployment rate,2019,Percentage,Units,5.9
Canada,Foreign-born,Men,Participation rate,2008,Percentage,Units,83.6
Canada,Foreign-born,Men,Participation rate,2009,Percentage,Units,82.7
Canada,Foreign-born,Men,Participation rate,2010,Percentage,Units,82.6
Canada,Foreign-born,Men,Participation rate,2011,Percentage,Units,82.1
Canada,Foreign-born,Men,Participation rate,2012,Percentage,Units,82.9
Canada,Foreign-born,Men,Participation rate,2013,Percentage,Units,83.1
Canada,Foreign-born,Men,Participation rate,2014,Percentage,Units,82.5
Canada,Foreign-born,Men,Participation rate,2015,Percentage,Units,84
Canada,Foreign-born,Men,Participation rate,2016,Percentage,Units,84.9
Canada,Foreign-born,Men,Participation rate,2017,Percentage,Units,84.4
Canada,Foreign-born,Men,Participation rate,2018,Percentage,Units,83.4
Canada,Foreign-born,Men,Participation rate,2019,Percentage,Units,84.3
Canada,Foreign-born,Women,Employment rate,2008,Percentage,Units,64.1
Canada,Foreign-born,Women,Employment rate,2009,Percentage,Units,63.4
Canada,Foreign-born,Women,Employment rate,2010,Percentage,Units,63.4
Canada,Foreign-born,Women,Employment rate,2011,Percentage,Units,63.2
Canada,Foreign-born,Women,Employment rate,2012,Percentage,Units,64.5
Canada,Foreign-born,Women,Employment rate,2013,Percentage,Units,65.1
Canada,Foreign-born,Women,Employment rate,2014,Percentage,Units,64.4
