Country,Birth,Gender,Rate,Year,Value
Canada,FB,Men,Employment rate,2008,77.9
Canada,FB,Men,Employment rate,2009,73.9
Canada,FB,Men,Employment rate,2010,74.5
Canada,FB,Men,Employment rate,2011,75.2
Canada,FB,Men,Employment rate,2012,76.1
Canada,FB,Men,Employment rate,2013,76.5
Canada,FB,Men,Employment rate,2014,76.3
Canada,FB,Men,Employment rate,2015,78.2
Canada,FB,Men,Employment rate,2016,78.6
Canada,FB,Men,Employment rate,2017,79.1
Canada,FB,Men,Employment rate,2018,78.4
Canada,FB,Men,Employment rate,2019,79.3
Canada,FB,Women,Employment rate,2008,64.1
Canada,FB,Women,Employment rate,2009,63.4
Canada,FB,Women,Employment rate,2010,63.4
Canada,FB,Women,Employment rate,2011,63.2
Canada,FB,Women,Employment rate,2012,64.5
Canada,FB,Women,Employment rate,2013,65.1
Canada,FB,Women,Employment rate,2014,64.4
Canada,FB,Women,Employment rate,2015,64.2
Canada,FB,Women,Employment rate,2016,65.3
Canada,FB,Women,Employment rate,2017,66.9
Canada,FB,Women,Employment rate,2018,66.6
Canada,FB,Women,Employment rate,2019,67.5
Canada,FB,Total,Employment rate,2008,70.8
Canada,FB,Total,Employment rate,2009,68.5
Canada,FB,Total,Employment rate,2010,68.8
Canada,FB,Total,Employment rate,2011,69
Canada,FB,Total,Employment rate,2012,70.1
Canada,FB,Total,Employment rate,2013,70.6
Canada,FB,Total,Employment rate,2014,70.1
Canada,FB,Total,Employment rate,2015,70.9
Canada,FB,Total,Employment rate,2016,71.7
Canada,FB,Total,Employment rate,2017,72.8
Canada,FB,Total,Employment rate,2018,72.3
Canada,FB,Total,Employment rate,2019,73.2
France,FB,Men,Employment rate,2000,61.8
France,FB,Men,Employment rate,2001,63.5
France,FB,Men,Employment rate,2002,62.4
France,FB,Men,Employment rate,2003,64.8
France,FB,Men,Employment rate,2004,67.8
France,FB,Men,Employment rate,2005,67.2
France,FB,Men,Employment rate,2006,67.1
France,FB,Men,Employment rate,2007,67.8
France,FB,Men,Employment rate,2008,68.9
France,FB,Men,Employment rate,2009,64.9
France,FB,Men,Employment rate,2010,66
France,FB,Men,Employment rate,2011,65.5
France,FB,Men,Employment rate,2012,66.2
France,FB,Men,Employment rate,2013,66.3
France,FB,Men,Employment rate,2014,63.8
France,FB,Men,Employment rate,2015,62.9
France,FB,Men,Employment rate,2016,63.6
France,FB,Men,Employment rate,2017,65.5
France,FB,Men,Employment rate,2018,67.9
France,FB,Men,Employment rate,2019,68
France,FB,Women,Employment rate,2000,42.6
France,FB,Women,Employment rate,2001,43.7
France,FB,Women,Employment rate,2002,43.8
France,FB,Women,Employment rate,2003,49.6
France,FB,Women,Employment rate,2004,49.1
France,FB,Women,Employment rate,2005,48.2
France,FB,Women,Employment rate,2006,47.9
France,FB,Women,Employment rate,2007,50.5
France,FB,Women,Employment rate,2008,50.8
