Country,Birth,Gender,Rate,Year,Value
Canada,FB,Men,Participation rate,2008,83.6
Canada,FB,Men,Participation rate,2009,82.7
Canada,FB,Men,Participation rate,2010,82.6
Canada,FB,Men,Participation rate,2011,82.1
Canada,FB,Men,Participation rate,2012,82.9
Canada,FB,Men,Participation rate,2013,83.1
Canada,FB,Men,Participation rate,2014,82.5
Canada,FB,Men,Participation rate,2015,84
Canada,FB,Men,Participation rate,2016,84.9
Canada,FB,Men,Participation rate,2017,84.4
Canada,FB,Men,Participation rate,2018,83.4
Canada,FB,Men,Participation rate,2019,84.3
Canada,FB,Women,Participation rate,2008,69.1
Canada,FB,Women,Participation rate,2009,70.2
Canada,FB,Women,Participation rate,2010,70.2
Canada,FB,Women,Participation rate,2011,69.7
Canada,FB,Women,Participation rate,2012,70.6
Canada,FB,Women,Participation rate,2013,71.1
Canada,FB,Women,Participation rate,2014,70.4
Canada,FB,Women,Participation rate,2015,69.9
Canada,FB,Women,Participation rate,2016,70.8
Canada,FB,Women,Participation rate,2017,72.2
Canada,FB,Women,Participation rate,2018,71.4
Canada,FB,Women,Participation rate,2019,72.3
Canada,FB,Total,Participation rate,2008,76.2
Canada,FB,Total,Participation rate,2009,76.2
Canada,FB,Total,Participation rate,2010,76.2
Canada,FB,Total,Participation rate,2011,75.6
Canada,FB,Total,Participation rate,2012,76.5
Canada,FB,Total,Participation rate,2013,76.9
Canada,FB,Total,Participation rate,2014,76.2
Canada,FB,Total,Participation rate,2015,76.7
Canada,FB,Total,Participation rate,2016,77.6
Canada,FB,Total,Participation rate,2017,78.1
Canada,FB,Total,Participation rate,2018,77.3
Canada,FB,Total,Participation rate,2019,78.1
France,FB,Men,Participation rate,2000,72.2
France,FB,Men,Participation rate,2001,72.6
France,FB,Men,Participation rate,2002,72.3
France,FB,Men,Participation rate,2003,76.1
France,FB,Men,Participation rate,2004,77.5
France,FB,Men,Participation rate,2005,76.6
France,FB,Men,Participation rate,2006,76.9
France,FB,Men,Participation rate,2007,77
France,FB,Men,Participation rate,2008,77.8
France,FB,Men,Participation rate,2009,76.6
France,FB,Men,Participation rate,2010,76.7
France,FB,Men,Participation rate,2011,76.5
France,FB,Men,Participation rate,2012,77.7
France,FB,Men,Participation rate,2013,78.9
France,FB,Men,Participation rate,2014,76.7
France,FB,Men,Participation rate,2015,76.6
France,FB,Men,Participation rate,2016,76.1
France,FB,Men,Participation rate,2017,77
France,FB,Men,Participation rate,2018,78.7
France,FB,Men,Participation rate,2019,77.6
France,FB,Women,Participation rate,2000,53.1
France,FB,Women,Participation rate,2001,52.4
France,FB,Women,Participation rate,2002,51.5
France,FB,Women,Participation rate,2003,58.5
France,FB,Women,Participation rate,2004,58.9
France,FB,Women,Participation rate,2005,57.9
France,FB,Women,Participation rate,2006,57.1
France,FB,Women,Participation rate,2007,59
France,FB,Women,Participation rate,2008,58.3
France,FB,Women,Participation rate,2009,59.2
France,FB,Women,Participation rate,2010,59.2
France,FB,Women,Participation rate,2011,59.7
France,FB,Women,Participation rate,2012,58.5
France,FB,Women,Participation rate,2013,58
France,FB,Women,Participation rate,2014,59.6
France,FB,Women,Participation rate,2015,58.7
France,FB,Women,Participation rate,2016,57.9
France,FB,Women,Participation rate,2017,58
France,FB,Women,Participation rate,2018,59.6
France,FB,Women,Participation rate,2019,59.1
France,FB,Total,Participation rate,2000,62.7
France,FB,Total,Participation rate,2001,62.4
France,FB,Total,Participation rate,2002,61.7
France,FB,Total,Participation rate,2003,67.2
France,FB,Total,Participation rate,2004,68.1
France,FB,Total,Participation rate,2005,67
France,FB,Total,Participation rate,2006,66.7
France,FB,Total,Participation rate,2007,67.6
France,FB,Total,Participation rate,2008,67.6
France,FB,Total,Participation rate,2009,67.5
France,FB,Total,Participation rate,2010,67.7
France,FB,Total,Participation rate,2011,67.7
France,FB,Total,Participation rate,2012,67.7
France,FB,Total,Participation rate,2013,67.9
France,FB,Total,Participation rate,2014,67.6
France,FB,Total,Participation rate,2015,67.1
France,FB,Total,Participation rate,2016,66.4
France,FB,Total,Participation rate,2017,66.9
France,FB,Total,Participation rate,2018,68.5
France,FB,Total,Participation rate,2019,67.8
Germany,FB,Men,Participation rate,2000,76.9
Germany,FB,Men,Participation rate,2001,77.4
Germany,FB,Men,Participation rate,2002,76.8
Germany,FB,Men,Participation rate,2003,77.6
Germany,FB,Men,Participation rate,2004,77.6
Germany,FB,Men,Participation rate,2005,78.8
Germany,FB,Men,Participation rate,2006,79.9
Germany,FB,Men,Participation rate,2007,81.4
Germany,FB,Men,Participation rate,2008,82.4
Germany,FB,Men,Participation rate,2009,81.3
Germany,FB,Men,Participation rate,2010,83.9
Germany,FB,Men,Participation rate,2011,83.4
Germany,FB,Men,Participation rate,2012,84.4
Germany,FB,Men,Participation rate,2013,84.2
Germany,FB,Men,Participation rate,2014,83.9
Germany,FB,Men,Participation rate,2015,83.5
Germany,FB,Men,Participation rate,2016,81.2
Germany,FB,Men,Participation rate,2017,80.5
Germany,FB,Men,Participation rate,2018,82.1
Germany,FB,Men,Participation rate,2019,83.5
Germany,FB,Women,Participation rate,2000,55.7
Germany,FB,Women,Participation rate,2001,57.2
Germany,FB,Women,Participation rate,2002,57.4
Germany,FB,Women,Participation rate,2003,57.9
Germany,FB,Women,Participation rate,2004,57.5
Germany,FB,Women,Participation rate,2005,57.9
Germany,FB,Women,Participation rate,2006,60.2
Germany,FB,Women,Participation rate,2007,60.2
Germany,FB,Women,Participation rate,2008,61.3
Germany,FB,Women,Participation rate,2009,61.8
Germany,FB,Women,Participation rate,2010,62.2
Germany,FB,Women,Participation rate,2011,64
Germany,FB,Women,Participation rate,2012,64.6
Germany,FB,Women,Participation rate,2013,64.9
Germany,FB,Women,Participation rate,2014,64.9
Germany,FB,Women,Participation rate,2015,64.8
Germany,FB,Women,Participation rate,2016,64.5
Germany,FB,Women,Participation rate,2017,64.6
Germany,FB,Women,Participation rate,2018,65.2
Germany,FB,Women,Participation rate,2019,66.1
Germany,FB,Total,Participation rate,2000,66.5
Germany,FB,Total,Participation rate,2001,67.4
Germany,FB,Total,Participation rate,2002,67.2
Germany,FB,Total,Participation rate,2003,67.8
Germany,FB,Total,Participation rate,2004,67.6
Germany,FB,Total,Participation rate,2005,68.4
Germany,FB,Total,Participation rate,2006,69.9
Germany,FB,Total,Participation rate,2007,70.5
Germany,FB,Total,Participation rate,2008,71.7
Germany,FB,Total,Participation rate,2009,71.5
Germany,FB,Total,Participation rate,2010,72.9
Germany,FB,Total,Participation rate,2011,73.4
